iter	Accuracy	Logloss
0	0.9200497569	0.5210974561
1	0.9207282596	0.4096526712
2	0.9258170304	0.3494182352
3	0.9262693656	0.2988897632
4	0.9284179577	0.2619007393
5	0.9305665498	0.241451883
6	0.9316973878	0.2226746763
7	0.9329413095	0.2075819318
8	0.9332805609	0.1969420178
9	0.9340721475	0.1882321508
10	0.935994572	0.1810960004
11	0.9373515775	0.1748091941
12	0.9382562479	0.1689407724
13	0.9385954993	0.165207347
14	0.9388216669	0.1621869929
15	0.9405179238	0.1573067599
16	0.9423272645	0.1541086122
17	0.9431188511	0.1500626525
18	0.945380527	0.1471795709
19	0.9452674432	0.1453085624
20	0.9445889404	0.1431757335
21	0.9452674432	0.1411154148
22	0.9462851973	0.138893382
23	0.950356214	0.1367880991
24	0.9504692977	0.1353296453
25	0.9509216329	0.1339064585
26	0.9512608843	0.1323229987
27	0.9514870519	0.1308036722
28	0.9520524709	0.1295643147
29	0.9516001357	0.12816992
30	0.9519393871	0.1264325978
31	0.9529571412	0.1247924596
32	0.9529571412	0.1234055624
33	0.953635644	0.1220846409
34	0.9543141468	0.1202491583
35	0.9554449847	0.1184920924
36	0.9560104037	0.1176568881
37	0.9560104037	0.1169644105
38	0.9562365713	0.1161202519
39	0.9561234875	0.1148230907
40	0.9556711523	0.1136836341
41	0.9562365713	0.1124908275
42	0.9573674093	0.1114023448
43	0.9573674093	0.1102304632
44	0.9578197444	0.1081574176
45	0.958611331	0.1070549422
46	0.9601945041	0.1060559173
47	0.9607599231	0.1047440095
48	0.9606468393	0.1035752266
49	0.9608730069	0.1029605886
50	0.9612122583	0.1025325696
51	0.9609860907	0.1014555175
52	0.9610991745	0.1008432462
53	0.9612122583	0.1003552369
54	0.9618907611	0.09973435208
55	0.96245618	0.09920775949
56	0.9631346828	0.09812959631
57	0.9626823476	0.09744867758
58	0.963021599	0.09703135975
59	0.9633608504	0.09643414721
60	0.963587018	0.09523557691
61	0.9642655208	0.09456720692
62	0.9646047721	0.09392363697
63	0.9644916883	0.0933373823
64	0.9650571073	0.09284543486
65	0.9650571073	0.09231919532
66	0.9657356101	0.09154580616
67	0.9656225263	0.09102779263
68	0.9656225263	0.09045576826
69	0.9660748615	0.09000058866
70	0.9660748615	0.08963645184
71	0.9661879453	0.08902297205
72	0.9660748615	0.08874473158
73	0.9661879453	0.08806346281
74	0.9664141129	0.08724894612
75	0.9666402804	0.086849445
76	0.9669795318	0.08637577333
77	0.9672056994	0.08586538808
78	0.9676580346	0.08535781722
79	0.9676580346	0.08500157488
80	0.967997286	0.08438030999
81	0.967431867	0.08404332716
82	0.9676580346	0.08367502444
83	0.9682234536	0.08329521248
84	0.9683365374	0.08298967329
85	0.9687888726	0.08220086712
