iter	Passed	Remaining
0	142	142189
1	145	72805
2	149	49657
3	155	38664
4	159	31754
5	164	27312
6	168	23923
7	172	21373
8	176	19457
9	180	17871
10	183	16529
11	187	15460
12	191	14559
13	195	13787
14	199	13099
15	203	12502
16	206	11948
17	210	11486
18	214	11057
19	218	10714
20	222	10366
21	226	10052
22	229	9758
23	233	9494
24	236	9236
25	240	9003
26	243	8782
27	247	8583
28	250	8397
29	254	8227
30	257	8062
31	261	7911
32	265	7777
33	268	7639
34	272	7524
35	276	7410
36	280	7295
37	284	7192
38	287	7096
39	291	6997
40	295	6917
41	299	6838
42	303	6754
43	307	6671
44	310	6596
45	314	6531
46	318	6465
47	322	6403
48	326	6333
49	330	6271
50	334	6219
51	338	6167
52	342	6114
53	345	6055
54	349	6001
55	352	5946
56	356	5895
57	360	5847
58	363	5798
59	367	5751
60	370	5710
61	374	5666
62	378	5624
63	381	5578
64	385	5550
65	389	5506
66	392	5470
67	396	5429
68	400	5402
69	404	5371
70	408	5344
71	412	5319
72	416	5290
73	420	5259
74	424	5234
75	428	5206
76	432	5186
77	436	5160
78	440	5138
79	444	5110
80	448	5094
81	453	5072
82	456	5045
83	460	5025
84	464	4999
85	468	4977
86	471	4950
87	475	4925
88	479	4911
89	483	4889
90	487	4865
91	490	4844
92	495	4836
93	499	4814
94	502	4791
95	506	4771
96	510	4753
97	514	4739
98	518	4722
99	523	4707
100	526	4685
101	530	4673
102	534	4653
103	538	4642
104	542	4624
105	546	4608
106	549	4589
107	553	4572
108	556	4552
109	560	4538
110	564	4521
111	567	4503
112	571	4487
113	575	4470
114	578	4452
115	582	4437
116	585	4418
117	588	4401
118	592	4385
119	595	4366
120	598	4350
121	601	4332
122	606	4321
123	610	4309
124	614	4299
125	617	4286
126	622	4275
127	625	4261
128	629	4250
129	633	4236
130	637	4226
131	640	4212
132	644	4199
133	647	4186
134	651	4177
135	655	4165
136	660	4158
137	663	4146
138	667	4137
139	671	4123
140	675	4113
141	678	4102
142	682	4092
143	686	4079
144	690	4070
145	694	4059
146	698	4051
147	701	4039
148	705	4030
149	709	4018
150	712	4007
151	716	3995
152	719	3985
153	723	3972
154	726	3962
155	730	3952
156	734	3946
157	738	3937
158	742	3928
159	746	3917
160	749	3907
161	753	3897
162	756	3886
163	760	3876
164	764	3868
165	768	3858
166	771	3847
167	774	3837
168	778	3825
169	781	3816
170	785	3807
171	788	3797
172	792	3789
173	796	3780
174	799	3770
175	803	3761
176	807	3752
177	810	3741
178	813	3731
179	816	3721
180	821	3715
181	824	3705
182	827	3696
183	831	3686
184	835	3678
185	838	3668
186	841	3659
187	845	3650
188	848	3640
189	851	3631
190	855	3622
191	859	3615
192	862	3606
193	866	3598
194	869	3590
195	873	3581
196	876	3573
197	880	3566
198	884	3558
199	887	3550
200	895	3560
201	899	3555
202	903	3549
203	908	3543
204	912	3539
205	917	3535
206	922	3534
207	928	3536
208	933	3532
209	937	3527
210	952	3561
211	956	3553
212	959	3545
213	963	3537
214	968	3534
215	972	3531
